raw_name,name_group
vreni,verena
vern,vernon
roni,veronica
nika,veronika
veca,vesna
vic,victor
vick,victor
vico,victor
tori,victoria
toria,victoria
vickie,victoria
vicky,victoria
vilho,vilhelmi
ville,vilhelmi
miina,vilhelmiina
mimmi,vilhelmiina
vilchjo,vilhelmo
viljo,viljami
vilko,viljem
vili,vilmos
cenck,vincenck
cenek,vincenck
vinca,vincenck
vincenc,vincenck
vinck,vincenck
vin,vincent
vince,vincent
vinnie,vincent
vi,violet
ginger,virginia
ginnie,virginia
virgie,virginia
vitya,vitaliy
vivian,viviette
vjeko,vjekoslav
vlatko,vladimir
volodya,vladimir
volya,vladimir
vova,vladimir
vlad,vsevolod
vuk,vukasin
ewald,waldo
wally,wallace
warin,warinot
walt,watkin
walter,watkin
wat,watkin
wislaw,wielislaw
wil,wilbur
wilf,wilfred
willi,wilhelm
wim,wilhelm
helma,wilhelmina
ilma,wilhelmina
minna,wilhelmina
minnie,wilhelmina
wilma,wilhelmina
mine,wilhelmine
jelle,willem
pim,willem
bill,william
billie,william
billy,william
will,william
willie,william
willy,william
winnie,winifred
wlodek,wlodzimierz
wojtek,wojciech
wolf,wolfgang
woody,woodrow
weit,wouter
yann,yanick
yaakov,yankel
yan,yanko
yakov,yasha
gora,yegor
gorya,yegor
yidel,yehudit
yutke,yehudit
lizaveta,yelizaveta
yente,yentl
zhenya,yevgeniya
yoni,yonatan
yoshi,yoshiaki
yuki,yukiko
yumi,yumiko
yosef,yussel
vonnie,yvonne
zach,zachary
zack,zackary
zed,zedekiah
zeph,zephaniah
zina,zinaida
zlatan,zlatko
zoe,zoey
zofia,zosia
zsiga,zsigmond
zsofia,zsofika
zsazsa,zsuzsanna
zsuzsa,zsuzsanna
zsuzsi,zsuzsanna
zvonko,zvonimir
